model,attack,eps_x255,n_bins,n_samples,eot_k,aa_version,defense,accuracy
rq_n15,none,0,15,100,0,-,rq,94.6600
rq_n15,pgd,8.0,15,100,0,-,rq,1.0800
rq_n15,none,0,20,100,0,-,rq,94.6700
rq_n15,pgd,8.0,20,100,0,-,rq,0.3400
rq_n15,none,0,30,100,0,-,rq,94.6400
rq_n15,pgd,8.0,30,100,0,-,rq,0.1300
rq_n15,none,0,40,100,0,-,rq,94.6200
rq_n15,pgd,8.0,40,100,0,-,rq,0.0900
rq_n20,none,0,2,100,0,-,rq,70.8800
rq_n20,pgd,8.0,2,100,0,-,rq,43.5300
rq_n20,none,0,3,100,0,-,rq,86.3700
rq_n20,pgd,8.0,3,100,0,-,rq,44.2000
rq_n20,none,0,5,100,0,-,rq,92.3100
rq_n20,pgd,8.0,5,100,0,-,rq,25.2300
rq_n20,none,0,8,100,0,-,rq,93.6900
rq_n20,pgd,8.0,8,100,0,-,rq,8.9700
rq_n20,none,0,10,100,0,-,rq,94.0300
rq_n20,pgd,8.0,10,100,0,-,rq,4.8300
rq_n20,none,0,15,100,0,-,rq,94.1400
rq_n20,pgd,8.0,15,100,0,-,rq,1.4000
rq_n20,none,0,20,100,0,-,rq,94.3200
rq_n20,pgd,8.0,20,100,0,-,rq,0.7400
rq_n20,none,0,30,100,0,-,rq,94.2400
rq_n20,pgd,8.0,30,100,0,-,rq,0.5200
rq_n20,none,0,40,100,0,-,rq,94.2900
rq_n20,pgd,8.0,40,100,0,-,rq,0.3300
rq_n30,none,0,2,100,0,-,rq,67.0800
rq_n30,pgd,8.0,2,100,0,-,rq,40.8200
rq_n30,none,0,3,100,0,-,rq,82.5700
rq_n30,pgd,8.0,3,100,0,-,rq,38.0500
rq_n30,none,0,5,100,0,-,rq,90.9300
rq_n30,pgd,8.0,5,100,0,-,rq,19.1000
rq_n30,none,0,8,100,0,-,rq,93.6000
rq_n30,pgd,8.0,8,100,0,-,rq,4.9000
rq_n30,none,0,10,100,0,-,rq,94.2400
rq_n30,pgd,8.0,10,100,0,-,rq,2.0900
rq_n30,none,0,15,100,0,-,rq,94.5600
