model,attack,eps_x255,n_bins,n_samples,eot_k,aa_version,defense,accuracy
baseline,eot_pgd,8.0,8,100,10,-,no_defense,0.0000
baseline,eot_pgd,8.0,8,100,10,-,gaussian,0.5100
baseline,eot_pgd,8.0,8,100,10,-,rq,0.0900
gaussian,eot_pgd,8.0,8,100,10,-,no_defense,7.3800
gaussian,eot_pgd,8.0,8,100,10,-,gaussian,11.9600
gaussian,eot_pgd,8.0,8,100,10,-,rq,14.4000
rq,eot_pgd,8.0,8,100,10,-,no_defense,0.0100
rq,eot_pgd,8.0,8,100,10,-,gaussian,2.4400
rq,eot_pgd,8.0,8,100,10,-,rq,0.8500
