epoch,train_loss,train_acc,test_loss,test_acc,lr,time_sec,is_best
1,3.420810,10.8340,2.300430,11.2100,0.10000000,17.06,1
2,2.261866,13.5700,2.122646,21.8600,0.09999383,9.75,1
3,1.990383,22.2080,1.893730,26.8600,0.09997533,9.90,1
4,1.779963,32.1500,1.673816,36.3500,0.09994449,9.77,1
5,1.615152,39.7060,1.529536,43.2000,0.09990134,9.57,1
6,1.441688,46.9740,1.470175,46.5200,0.09984587,10.12,1
7,1.251242,54.5620,1.342413,51.9400,0.09977810,9.92,1
8,1.083801,60.9720,1.258712,55.3200,0.09969805,9.35,1
9,0.971832,65.1740,0.957580,66.1000,0.09960574,9.84,1
10,0.862373,69.4480,0.961392,66.4600,0.09950118,9.72,1
11,0.784539,72.3540,0.934663,67.2300,0.09938442,10.07,1
12,0.704027,75.3400,0.767239,74.2600,0.09925547,10.06,1
13,0.647918,77.3880,0.819009,72.5800,0.09911436,9.98,0
14,0.589939,79.5620,0.743041,74.7600,0.09896114,10.12,1
15,0.565654,80.2940,0.671246,77.5100,0.09879584,9.84,1
16,0.548516,80.9380,0.639880,78.5600,0.09861850,10.07,1
17,0.518256,81.9820,0.724814,75.8000,0.09842916,9.73,0
18,0.503895,82.4360,0.793376,73.6000,0.09822787,10.11,0
19,0.488269,83.1280,0.781870,73.6900,0.09801468,9.06,0
20,0.470911,83.6600,0.611060,79.1600,0.09778965,9.70,1
21,0.465859,83.9320,0.651586,77.7100,0.09755283,9.80,0
22,0.450424,84.4600,0.605540,79.7300,0.09730427,9.93,1
23,0.439497,84.7060,0.644364,78.0100,0.09704404,9.58,0
24,0.438927,84.8840,0.595085,79.5900,0.09677220,9.80,0
25,0.427091,85.3720,0.558104,81.3800,0.09648882,9.96,1
26,0.417030,85.7200,0.549211,81.9800,0.09619398,9.98,1
27,0.406137,85.9780,0.673190,78.3800,0.09588773,9.72,0
28,0.400409,86.0720,0.577685,80.1600,0.09557016,9.70,0
29,0.393056,86.4000,0.604123,79.9000,0.09524135,9.87,0
30,0.384831,86.6360,0.545003,81.8400,0.09490138,9.81,0
31,0.390197,86.4600,0.569464,80.8600,0.09455033,9.98,0
32,0.367329,87.4680,0.823988,74.7300,0.09418828,9.91,0
33,0.369530,87.5020,0.563357,81.1300,0.09381533,9.54,0
34,0.362724,87.4100,0.514907,83.4500,0.09343158,10.05,1
35,0.361345,87.6720,0.586372,80.6800,0.09303710,10.22,0
36,0.355370,87.7320,0.693041,78.3600,0.09263201,9.39,0
37,0.352563,87.8360,0.473635,84.7400,0.09221640,9.95,1
38,0.344069,88.1940,0.563624,81.7500,0.09179037,10.04,0
39,0.344714,88.2200,0.684516,79.3500,0.09135403,9.96,0
40,0.342333,88.1000,0.557911,81.8800,0.09090749,10.11,0
41,0.333176,88.3960,0.860534,73.6900,0.09045085,10.11,0
42,0.330411,88.7620,0.549388,82.4800,0.08998423,10.00,0
43,0.320773,89.0400,0.616543,79.9900,0.08950775,10.11,0
