epoch,train_loss,train_acc,test_loss,test_acc,lr,time_sec,is_best
1,3.562383,10.0200,2.303364,10.0300,0.10000000,17.55,1
2,2.295768,11.8160,2.269809,14.1800,0.09999383,10.53,1
3,2.269942,13.6920,2.246172,14.8000,0.09997533,10.41,1
4,2.227204,15.2440,2.191822,16.9600,0.09994449,10.20,1
5,2.192560,16.3060,2.144837,18.8500,0.09990134,10.18,1
6,2.141636,18.9520,2.103447,20.0600,0.09984587,10.38,1
7,2.091777,21.3360,2.017841,24.1300,0.09977810,10.52,1
8,2.029793,24.0960,2.049960,24.6100,0.09969805,10.45,1
9,1.976937,26.4860,1.939265,28.0000,0.09960574,10.47,1
10,1.934895,28.9600,1.886751,30.9100,0.09950118,10.51,1
11,1.862974,32.0200,1.759332,35.8700,0.09938442,10.15,1
12,1.790544,34.7440,1.788519,35.8600,0.09925547,9.27,0
13,1.717746,37.7920,1.712518,38.1300,0.09911436,10.37,1
14,1.659032,40.2440,1.656009,41.6400,0.09896114,10.36,1
15,1.598962,42.6020,1.560679,45.3000,0.09879584,10.24,1
16,1.549698,44.2800,1.563506,44.6000,0.09861850,10.14,0
17,1.511575,46.2140,1.436453,49.4100,0.09842916,8.42,1
18,1.479728,47.3580,1.515407,46.4300,0.09822787,9.64,0
19,1.446258,48.7340,1.496101,46.4100,0.09801468,9.66,0
20,1.422844,49.6280,1.671055,44.7100,0.09778965,9.15,0
21,1.404705,50.4660,1.500878,48.1200,0.09755283,9.76,0
22,1.397312,50.7340,1.559315,46.0900,0.09730427,9.33,0
23,1.377172,51.4720,1.598667,45.7000,0.09704404,9.98,0
24,1.363491,51.7880,1.429044,50.2700,0.09677220,10.45,1
25,1.355637,52.3260,1.552036,48.2100,0.09648882,10.35,0
26,1.348075,52.6700,1.378849,51.8000,0.09619398,10.47,1
27,1.328872,53.2880,1.415090,51.8400,0.09588773,9.88,1
28,1.319962,53.5020,1.374695,52.0700,0.09557016,10.55,1
29,1.301704,54.0780,1.350729,53.4700,0.09524135,10.13,1
30,1.276848,55.0340,1.347067,52.7600,0.09490138,10.32,0
31,1.272444,55.5680,1.279038,54.8300,0.09455033,10.16,1
32,1.247395,56.2220,1.424668,50.5300,0.09418828,10.49,0
33,1.233580,56.5980,1.369872,52.3900,0.09381533,10.31,0
34,1.227448,57.1320,1.234670,56.8100,0.09343158,10.46,1
35,1.211764,57.4820,1.414632,53.2800,0.09303710,10.31,0
36,1.211387,57.3940,1.210438,57.6300,0.09263201,10.52,1
37,1.195090,58.1700,1.541753,51.5400,0.09221640,9.62,0
38,1.182953,58.7880,1.200017,57.7100,0.09179037,9.78,1
39,1.177770,58.8060,1.193926,58.4500,0.09135403,10.21,1
40,1.169326,59.1180,1.311994,55.6100,0.09090749,10.08,0
41,1.165625,59.2320,1.364575,54.0400,0.09045085,9.99,0
42,1.158563,59.2800,1.149052,60.4300,0.08998423,10.14,1
43,1.153581,59.4880,1.355557,54.2800,0.08950775,10.31,0
44,1.149588,59.9480,1.272332,55.9600,0.08902152,10.72,0
45,1.147543,59.8340,1.140667,60.5800,0.08852566,9.70,1
46,1.134596,60.3240,1.201984,58.7800,0.08802030,10.30,0
47,1.126392,60.5560,1.375970,55.7500,0.08750555,10.25,0
48,1.129938,60.5920,1.218553,57.9100,0.08698155,9.84,0
49,1.115987,61.0400,1.231259,57.3700,0.08644843,8.98,0
50,1.119674,60.8320,1.346199,56.1400,0.08590631,9.74,0
51,1.116703,60.8620,1.113852,61.3500,0.08535534,10.21,1
52,1.110531,61.4820,1.200847,58.4600,0.08479564,10.25,0
53,1.100970,61.4400,1.333789,54.8500,0.08422736,10.32,0
54,1.103133,61.5960,1.201242,58.7500,0.08365063,10.13,0
55,1.098548,61.5080,1.263317,56.7900,0.08306559,10.41,0
56,1.084694,62.1740,1.173415,59.6900,0.08247240,10.25,0
57,1.089592,62.2500,1.159259,60.3800,0.08187120,9.51,0
58,1.079944,62.4540,1.149056,60.4500,0.08126213,10.28,0
59,1.082399,62.2360,1.257339,57.0400,0.08064535,9.82,0
60,1.078885,62.3160,1.233108,58.5000,0.08002101,9.52,0
61,1.065908,62.7720,1.096642,62.5300,0.07938926,10.17,1
62,1.067279,62.9820,1.069171,62.9600,0.07875026,9.78,1
63,1.059060,63.0500,1.274621,57.2500,0.07810417,10.30,0
64,1.056075,63.1540,1.061951,62.7500,0.07745114,10.10,0
65,1.049362,63.5500,1.075655,63.0600,0.07679134,10.25,1
66,1.051299,63.4260,1.096177,61.5900,0.07612493,10.29,0
67,1.052056,63.4720,1.113758,61.8100,0.07545207,9.67,0
68,1.047662,63.7120,1.148743,60.0800,0.07477293,9.53,0
69,1.036438,63.9760,1.107776,61.6700,0.07408768,9.66,0
70,1.043738,63.6580,1.037419,63.5200,0.07339649,10.07,1
71,1.035164,63.8280,1.190678,59.2000,0.07269952,9.40,0
72,1.032360,64.2040,1.121325,61.7000,0.07199696,10.18,0
73,1.026990,64.1800,1.127864,61.9000,0.07128896,10.22,0
74,1.025406,64.4180,1.111109,62.1400,0.07057572,10.05,0
75,1.013203,64.6780,1.081411,62.2000,0.06985739,9.31,0
76,1.014857,64.6580,1.126496,61.4300,0.06913417,9.40,0
77,1.013881,64.5040,1.105410,61.9100,0.06840623,9.99,0
78,1.013058,64.7900,1.044280,64.2500,0.06767374,9.81,1
79,1.012799,64.8080,1.099073,62.4700,0.06693690,9.64,0
80,0.998371,65.1340,0.997723,65.2900,0.06619587,9.73,1
81,0.997706,65.3860,1.168913,60.9300,0.06545085,9.88,0
82,0.995483,65.3160,1.006668,65.0400,0.06470202,9.24,0
83,0.990882,65.4980,1.068143,63.5200,0.06394956,9.60,0
84,0.986773,65.6320,1.085246,62.2500,0.06319365,9.17,0
85,0.984039,65.6900,1.065221,62.6900,0.06243449,10.59,0
86,0.980485,65.8080,1.012404,65.2100,0.06167227,10.76,0
87,0.978210,66.0160,1.124340,61.9700,0.06090716,10.27,0
88,0.978513,66.0500,1.076208,62.9200,0.06013936,10.36,0
89,0.972957,66.0460,0.994950,65.5900,0.05936907,9.46,1
90,0.954118,66.6960,1.022050,65.0000,0.05859646,9.25,0
91,0.971959,66.2700,1.166684,59.9300,0.05782172,10.20,0
92,0.960575,66.5920,0.993955,66.1200,0.05704506,10.34,1
93,0.955186,66.7180,1.066788,63.3100,0.05626666,10.26,0
94,0.957623,66.9200,0.985697,65.6400,0.05548672,10.02,0
95,0.948406,67.0540,1.055531,63.8000,0.05470542,9.51,0
96,0.946182,67.0040,0.980624,66.6800,0.05392295,10.15,1
97,0.942481,67.2600,1.003635,65.6000,0.05313953,10.11,0
98,0.941711,67.3700,0.951889,67.2800,0.05235532,9.33,1
99,0.937141,67.4980,1.185552,60.5100,0.05157054,9.36,0
100,0.928835,67.6480,0.982104,66.2900,0.05078537,10.56,0
101,0.924719,68.0520,1.079961,63.5100,0.05000000,10.39,0
102,0.921814,67.8880,1.065905,63.8400,0.04921463,10.33,0
103,0.921778,67.9040,0.965115,66.9800,0.04842946,10.10,0
104,0.917563,67.9460,0.938217,67.7000,0.04764468,10.31,1
105,0.909748,68.4640,0.961208,67.0400,0.04686047,10.43,0
106,0.905341,68.5900,0.953427,67.5800,0.04607705,10.60,0
107,0.909965,68.1000,1.080639,63.6100,0.04529458,10.59,0
108,0.897593,68.6600,1.159726,62.4200,0.04451328,10.36,0
109,0.904024,68.6960,0.910483,68.7700,0.04373334,10.56,1
110,0.893907,69.0420,1.010916,64.9900,0.04295494,10.56,0
111,0.886997,68.8860,1.035583,65.3700,0.04217828,9.98,0
112,0.888663,69.2160,0.947132,67.8300,0.04140354,10.35,0
113,0.884248,69.1740,0.944869,67.3900,0.04063093,10.50,0
114,0.882741,69.1500,0.943505,67.2800,0.03986064,9.87,0
115,0.879482,69.5920,0.976733,67.9600,0.03909284,10.51,0
116,0.876617,69.6080,0.948026,67.7700,0.03832773,10.25,0
117,0.868203,69.7900,0.961638,67.0400,0.03756551,9.38,0
118,0.870063,69.7280,1.042442,64.6000,0.03680635,10.18,0
119,0.863020,70.0000,1.115518,61.4000,0.03605044,10.71,0
120,0.859771,70.1840,0.937012,68.3400,0.03529798,10.49,0
121,0.851345,70.4060,0.912667,68.6400,0.03454915,10.00,0
122,0.848582,70.5020,0.908263,69.2000,0.03380413,10.16,1
123,0.840625,70.9380,1.034213,65.3100,0.03306310,10.34,0
124,0.843867,70.6940,0.890004,69.1900,0.03232626,10.17,0
125,0.835169,71.0180,0.972394,66.9900,0.03159377,10.45,0
126,0.829334,71.1500,0.876304,69.8000,0.03086583,10.52,1
127,0.834066,71.0040,0.893818,69.4600,0.03014261,10.56,0
128,0.817573,71.4560,0.856134,69.9100,0.02942428,10.16,1
129,0.820890,71.3320,0.818107,72.0400,0.02871104,10.36,1
130,0.810566,71.9160,0.839776,71.2500,0.02800304,10.63,0
131,0.811063,71.8560,0.885236,69.1300,0.02730048,10.13,0
132,0.804257,71.9900,0.867165,70.2500,0.02660351,10.21,0
133,0.801705,72.0840,0.920426,69.1400,0.02591232,10.25,0
134,0.794794,72.5340,0.832106,71.5300,0.02522707,10.37,0
135,0.792521,72.3660,0.842087,71.1200,0.02454793,10.44,0
136,0.789701,72.6320,0.854461,71.0300,0.02387507,10.19,0
137,0.785973,72.7600,0.819576,71.4600,0.02320866,10.40,0
138,0.781882,72.7600,0.830364,71.7500,0.02254886,8.92,0
139,0.768606,73.1220,0.824998,71.6500,0.02189583,9.29,0
140,0.765567,73.5200,0.836228,71.0600,0.02124974,10.46,0
141,0.767128,73.4400,0.801562,72.4600,0.02061074,10.51,1
142,0.758848,73.4660,0.839567,71.0900,0.01997899,10.61,0
143,0.754107,73.7440,0.782833,72.8600,0.01935465,10.64,1
144,0.750425,74.1380,0.806115,73.0700,0.01873787,9.91,1
145,0.745824,74.0740,0.804766,72.6900,0.01812880,9.36,0
146,0.742825,74.2520,0.803925,71.9600,0.01752760,9.49,0
147,0.733756,74.4980,0.789588,72.7900,0.01693441,10.33,0
148,0.734483,74.4100,0.795252,73.0700,0.01634937,10.30,0
149,0.723250,74.8200,0.807368,72.5600,0.01577264,10.47,0
150,0.718144,75.1780,0.773258,73.4100,0.01520436,9.70,1
151,0.715103,75.1840,0.755729,74.4300,0.01464466,9.60,1
152,0.709956,75.2720,0.749247,74.1400,0.01409369,10.15,0
153,0.705332,75.6100,0.774818,73.5200,0.01355157,9.70,0
154,0.697398,75.9820,0.765701,73.9400,0.01301845,10.46,0
155,0.694910,75.8640,0.792743,73.1900,0.01249445,10.63,0
156,0.690284,75.7960,0.744797,74.4600,0.01197970,10.55,1
157,0.682305,76.1040,0.734442,74.5700,0.01147434,9.96,1
158,0.672704,76.6000,0.758913,74.3500,0.01097848,10.33,0
159,0.663573,76.8120,0.725777,75.0400,0.01049225,10.01,1
160,0.658591,77.2180,0.729182,74.7800,0.01001577,9.88,0
161,0.661593,76.8740,0.729492,75.3300,0.00954915,10.22,1
162,0.648306,77.5640,0.702896,75.7500,0.00909251,10.38,1
163,0.647783,77.7140,0.724503,75.0100,0.00864597,10.46,0
164,0.636711,77.8540,0.711258,76.1900,0.00820963,10.13,1
165,0.634470,77.8720,0.705502,76.1400,0.00778360,9.99,0
166,0.623279,78.2660,0.696348,76.3400,0.00736799,10.38,1
167,0.624452,78.4140,0.708281,76.2300,0.00696290,10.28,0
168,0.615569,78.6600,0.708119,75.7100,0.00656842,10.68,0
169,0.617581,78.5720,0.719260,75.2200,0.00618467,10.38,0
170,0.605278,79.0660,0.685281,76.3000,0.00581172,10.02,0
171,0.590286,79.3280,0.721983,75.4900,0.00544967,10.40,0
172,0.586137,79.7040,0.692316,76.2900,0.00509862,9.80,0
173,0.582898,79.8520,0.697773,76.4700,0.00475865,9.55,1
174,0.581772,79.7680,0.697372,75.9300,0.00442984,9.87,0
175,0.573645,80.1140,0.686714,76.6000,0.00411227,9.87,1
176,0.569915,80.3840,0.678939,77.1400,0.00380602,9.89,1
177,0.568422,80.3580,0.650481,77.8600,0.00351118,10.53,1
178,0.561971,80.5500,0.652601,78.0100,0.00322780,10.28,1
179,0.547645,80.9100,0.648119,77.6900,0.00295596,10.57,0
180,0.546153,81.0620,0.660754,77.6900,0.00269573,10.40,0
181,0.537739,81.1480,0.640558,78.5600,0.00244717,10.41,1
182,0.537208,81.4680,0.654555,77.6800,0.00221035,10.59,0
183,0.529993,81.6800,0.651071,77.4900,0.00198532,9.79,0
184,0.527129,81.8080,0.641984,78.5900,0.00177213,9.98,1
185,0.515691,82.0560,0.650125,77.8900,0.00157084,10.49,0
186,0.518402,81.9340,0.646315,78.1700,0.00138150,10.09,0
187,0.513913,82.3300,0.644690,78.8000,0.00120416,10.51,1
188,0.512313,82.3900,0.638019,78.2000,0.00103886,10.48,0
189,0.507565,82.3540,0.627359,78.9400,0.00088564,9.95,1
190,0.504595,82.4900,0.631720,78.7100,0.00074453,10.43,0
191,0.498289,82.6960,0.636867,78.4600,0.00061558,10.61,0
192,0.490831,83.0720,0.644429,78.4900,0.00049882,9.72,0
193,0.494603,82.7380,0.626849,78.9700,0.00039426,10.18,1
194,0.498409,82.7560,0.628689,78.8500,0.00030195,9.98,0
195,0.490607,82.9480,0.632819,78.4900,0.00022190,9.95,0
196,0.488166,82.9880,0.620690,79.1700,0.00015413,10.21,1
197,0.494136,82.8860,0.625097,78.9900,0.00009866,10.32,0
198,0.489847,83.2820,0.629309,78.9800,0.00005551,8.47,0
199,0.489558,83.1260,0.636666,78.7500,0.00002467,9.15,0
200,0.493659,83.0240,0.619756,79.2000,0.00000617,10.30,1
