epoch,train_loss,train_acc,test_loss,test_acc,lr,time_sec,is_best
94,0.433110,84.9360,0.572623,80.8000,0.05548672,16.79,0
95,0.427010,85.2160,0.659990,78.2000,0.05470542,16.52,0
96,0.425158,85.3200,0.727439,76.3700,0.05392295,16.13,0
97,0.425272,85.3720,0.579721,80.4600,0.05313953,16.27,0
98,0.414458,85.5460,0.662679,78.3300,0.05235532,16.61,0
99,0.415838,85.6960,0.674767,78.1500,0.05157054,16.56,0
100,0.414002,85.7000,0.551489,81.5100,0.05078537,16.73,0
101,0.405102,85.9220,0.582194,80.6200,0.05000000,16.74,0
102,0.404702,85.9760,0.577469,80.6500,0.04921463,15.83,0
103,0.399433,86.0420,0.700555,77.8500,0.04842946,16.43,0
104,0.391051,86.4600,0.577632,81.5800,0.04764468,16.46,0
105,0.394122,86.4440,0.551169,81.8400,0.04686047,16.42,0
106,0.392366,86.3760,0.645057,79.2700,0.04607705,16.47,0
107,0.388006,86.3980,0.661313,78.7900,0.04529458,16.16,0
108,0.383029,86.7400,0.556765,81.3700,0.04451328,15.91,0
109,0.377617,86.9400,0.598121,81.1500,0.04373334,16.46,0
110,0.377462,87.0120,0.558208,81.8300,0.04295494,15.68,0
111,0.366932,87.2880,0.582553,80.7500,0.04217828,15.88,0
112,0.360331,87.5340,0.561236,81.3400,0.04140354,16.71,0
113,0.361137,87.4480,0.568760,81.2500,0.04063093,16.45,0
114,0.357211,87.5700,0.541364,81.8500,0.03986064,15.91,0
115,0.354595,87.6240,0.606188,80.2200,0.03909284,15.82,0
116,0.346322,87.7740,0.493059,83.8900,0.03832773,16.70,1
117,0.343220,87.9500,0.584580,81.0700,0.03756551,16.30,0
118,0.341747,88.2780,0.765720,77.7400,0.03680635,15.37,0
119,0.336003,88.4420,0.664239,78.6900,0.03605044,16.16,0
120,0.333765,88.3080,0.490014,84.2000,0.03529798,16.48,1
121,0.328050,88.7380,0.543679,82.4400,0.03454915,15.82,0
122,0.318582,89.0720,0.574801,81.6800,0.03380413,15.96,0
123,0.319586,88.8200,0.486572,83.9700,0.03306310,16.10,0
124,0.308557,89.3320,0.604418,81.3500,0.03232626,16.44,0
125,0.310669,89.0800,0.569055,81.5200,0.03159377,16.55,0
126,0.304274,89.3120,0.507049,83.4500,0.03086583,16.44,0
127,0.295614,89.8020,0.588829,81.7800,0.03014261,16.25,0
128,0.291911,89.6500,0.548039,82.5500,0.02942428,15.71,0
129,0.289440,89.8540,0.495772,83.6900,0.02871104,15.41,0
130,0.283654,90.1900,0.512898,83.5600,0.02800304,16.11,0
131,0.281144,90.1280,0.525374,82.7100,0.02730048,16.63,0
132,0.273332,90.3940,0.494048,84.3900,0.02660351,16.03,1
133,0.271477,90.4620,0.444242,85.7600,0.02591232,16.50,1
134,0.261070,90.8360,0.498629,83.7200,0.02522707,16.39,0
135,0.264707,90.8340,0.511646,83.6800,0.02454793,15.88,0
136,0.252209,91.3800,0.462594,85.1400,0.02387507,15.70,0
137,0.250792,91.1920,0.469179,84.9600,0.02320866,16.32,0
138,0.245195,91.5260,0.451546,85.5500,0.02254886,16.53,0
139,0.233832,91.8400,0.486094,84.6700,0.02189583,15.04,0
140,0.234847,91.7420,0.426285,86.4900,0.02124974,15.87,1
141,0.227979,92.0020,0.489410,85.0500,0.02061074,16.53,0
142,0.218905,92.3780,0.463123,85.4700,0.01997899,16.38,0
143,0.216524,92.3680,0.481904,85.0200,0.01935465,16.46,0
144,0.208199,92.7860,0.472869,85.6500,0.01873787,16.70,0
145,0.205065,92.9120,0.496788,84.6900,0.01812880,16.28,0
146,0.201323,92.9060,0.495186,84.7300,0.01752760,16.66,0
147,0.187974,93.4240,0.474153,85.2500,0.01693441,16.62,0
148,0.185963,93.5380,0.455135,86.3300,0.01634937,16.19,0
149,0.184264,93.6320,0.461258,86.3100,0.01577264,16.49,0
150,0.178272,93.8100,0.476794,85.2800,0.01520436,16.59,0
151,0.165401,94.2500,0.445112,86.3300,0.01464466,16.03,0
152,0.164594,94.2100,0.459004,86.9100,0.01409369,16.24,1
153,0.153446,94.6960,0.388497,87.9100,0.01355157,16.22,1
154,0.149749,94.8100,0.458742,86.5600,0.01301845,15.44,0
155,0.140990,95.0160,0.472213,86.4000,0.01249445,16.60,0
156,0.141719,95.0040,0.475558,86.4300,0.01197970,16.67,0
157,0.132033,95.3900,0.443124,87.1400,0.01147434,16.19,0
158,0.125654,95.7660,0.417619,87.5700,0.01097848,16.38,0
159,0.118746,95.9340,0.407642,87.8900,0.01049225,16.76,0
160,0.110633,96.2820,0.476091,86.5400,0.01001577,16.17,0
