epoch,train_loss,train_acc,test_loss,test_acc,lr,time_sec,is_best
1,3.505193,12.1780,2.151310,19.8300,0.10000000,16.83,1
2,2.022035,21.4560,1.934115,24.3400,0.09999383,10.17,1
3,1.865093,27.1560,1.840678,30.4100,0.09997533,10.10,1
4,1.676460,36.3440,1.543672,42.3500,0.09994449,9.84,1
5,1.509305,43.6600,1.879244,37.9800,0.09990134,10.13,0
6,1.369670,49.5760,1.301539,52.9000,0.09984587,10.01,1
7,1.233222,55.5360,1.305544,52.6800,0.09977810,10.05,0
8,1.126651,59.8580,1.657369,48.8300,0.09969805,9.77,0
9,1.032441,63.1640,1.027941,63.1900,0.09960574,10.13,1
10,0.958094,65.8800,1.303425,57.1600,0.09950118,9.98,0
11,0.900202,67.7980,1.006467,64.8700,0.09938442,10.16,1
12,0.848163,70.2080,0.892601,67.7100,0.09925547,10.19,1
13,0.804844,71.4540,0.891355,68.4500,0.09911436,9.86,1
14,0.747222,73.5740,0.846203,70.4800,0.09896114,9.93,1
15,0.694729,75.8800,0.722187,75.4200,0.09879584,10.21,1
16,0.657609,76.9040,0.761096,73.4200,0.09861850,9.97,0
17,0.617273,78.4160,0.716606,75.3700,0.09842916,9.57,0
18,0.591078,79.5940,0.831659,71.8200,0.09822787,10.25,0
19,0.567100,80.2100,0.685416,76.2400,0.09801468,10.16,1
20,0.549540,80.9580,0.761305,74.2600,0.09778965,10.11,0
21,0.533474,81.6140,0.758659,74.3700,0.09755283,9.85,0
22,0.513619,82.2300,0.784236,74.3100,0.09730427,9.99,0
23,0.508095,82.4860,0.778346,73.9400,0.09704404,9.89,0
24,0.489305,83.0080,0.980557,69.5100,0.09677220,9.12,0
25,0.481662,83.2060,0.582190,80.5900,0.09648882,9.85,1
26,0.471533,83.7440,0.607718,79.3900,0.09619398,10.03,0
27,0.461550,84.0080,0.751262,74.8700,0.09588773,10.25,0
28,0.455317,84.2580,0.820505,73.9300,0.09557016,9.99,0
29,0.446988,84.6660,0.796128,74.7800,0.09524135,10.10,0
30,0.445203,84.5560,0.635454,78.5300,0.09490138,10.09,0
31,0.434803,85.0120,0.696400,76.3100,0.09455033,10.14,0
32,0.425639,85.3760,0.535321,81.8700,0.09418828,10.10,1
33,0.422655,85.4400,0.683645,77.6300,0.09381533,10.24,0
34,0.416806,85.5660,0.531321,82.3200,0.09343158,10.09,1
35,0.419488,85.5360,0.608781,79.8700,0.09303710,10.20,0
36,0.406464,85.9300,0.828706,74.1900,0.09263201,10.18,0
37,0.399115,86.2860,0.614826,79.7400,0.09221640,10.23,0
38,0.392921,86.5000,0.923553,72.9900,0.09179037,10.07,0
39,0.393025,86.4300,0.644259,79.3400,0.09135403,9.59,0
40,0.389124,86.4500,0.523840,82.7000,0.09090749,10.24,1
41,0.379217,86.9980,0.619671,79.7600,0.09045085,9.99,0
42,0.374287,87.0440,0.695249,77.8600,0.08998423,10.19,0
43,0.366423,87.2500,0.521454,82.2900,0.08950775,10.29,0
44,0.364525,87.4320,0.610400,79.7500,0.08902152,9.83,0
45,0.359090,87.6440,0.709315,78.1600,0.08852566,10.23,0
46,0.357352,87.6240,0.539212,81.7600,0.08802030,10.25,0
47,0.355823,87.6820,0.605204,80.0600,0.08750555,10.16,0
48,0.349672,87.9120,0.638095,79.1800,0.08698155,10.26,0
49,0.348337,87.9440,0.671804,79.0800,0.08644843,10.19,0
50,0.338869,88.3660,0.696890,78.0600,0.08590631,10.27,0
51,0.330740,88.4980,0.501057,82.8800,0.08535534,10.20,1
52,0.338886,88.2460,0.582078,80.6300,0.08479564,9.72,0
53,0.334343,88.4860,0.565558,81.4800,0.08422736,10.33,0
54,0.329741,88.5040,0.580487,81.2800,0.08365063,10.06,0
55,0.326286,88.7080,0.619235,79.9000,0.08306559,10.27,0
56,0.319693,88.9640,0.538738,83.1700,0.08247240,10.43,1
57,0.323905,88.7460,0.509987,82.9200,0.08187120,10.07,0
58,0.314967,89.0060,0.587117,80.6600,0.08126213,9.62,0
59,0.311439,89.4740,0.507695,83.3000,0.08064535,10.23,1
60,0.311426,89.3360,0.458766,84.3600,0.08002101,10.04,1
61,0.305609,89.3600,0.605388,80.3300,0.07938926,10.13,0
62,0.302907,89.6100,0.497910,83.5200,0.07875026,10.24,0
63,0.301018,89.7060,0.832518,75.7700,0.07810417,10.26,0
64,0.296820,89.7980,1.034503,70.4300,0.07745114,9.33,0
65,0.294249,89.6980,0.617698,79.8800,0.07679134,9.78,0
66,0.292486,89.9680,0.543106,82.3200,0.07612493,10.07,0
67,0.285076,90.0660,0.390374,86.8600,0.07545207,10.12,1
68,0.283769,90.1020,0.628430,79.7000,0.07477293,9.84,0
69,0.282394,90.2640,0.537803,82.4600,0.07408768,10.01,0
70,0.281178,90.2640,0.553835,82.1100,0.07339649,10.22,0
71,0.275956,90.5080,0.500214,83.5800,0.07269952,10.24,0
72,0.271264,90.5440,0.636862,80.3400,0.07199696,9.94,0
73,0.270867,90.7140,0.509948,83.7100,0.07128896,9.97,0
74,0.265634,90.9460,0.746836,76.8100,0.07057572,10.12,0
75,0.262937,90.8480,0.547757,82.9000,0.06985739,10.30,0
76,0.265069,90.8660,0.455951,84.5600,0.06913417,9.99,0
77,0.252986,91.3900,0.460358,84.8600,0.06840623,10.08,0
78,0.257314,91.1120,0.521209,84.0700,0.06767374,10.20,0
79,0.250893,91.3180,0.523846,83.6300,0.06693690,9.97,0
80,0.245906,91.4700,0.405616,86.9000,0.06619587,9.82,1
81,0.250634,91.3300,0.474183,84.5800,0.06545085,10.03,0
82,0.247556,91.3880,0.517459,84.2200,0.06470202,10.21,0
83,0.238803,91.7360,0.444558,86.2900,0.06394956,9.54,0
84,0.242899,91.5880,0.425376,86.0100,0.06319365,10.21,0
85,0.237996,91.7020,0.423273,86.6300,0.06243449,10.14,0
86,0.235595,91.8660,0.629603,80.9900,0.06167227,9.96,0
87,0.228741,92.0780,0.439518,86.4200,0.06090716,10.17,0
88,0.236452,91.7380,0.428369,86.2700,0.06013936,10.20,0
89,0.228551,92.1180,0.460401,85.6200,0.05936907,10.15,0
90,0.223541,92.2960,0.410306,86.6000,0.05859646,9.90,0
91,0.220286,92.3180,0.398804,87.3200,0.05782172,10.16,1
92,0.215092,92.5260,0.430171,86.3100,0.05704506,10.29,0
93,0.214795,92.4840,0.410055,86.6500,0.05626666,10.22,0
94,0.213802,92.5540,0.414345,86.7200,0.05548672,9.88,0
95,0.209206,92.7320,0.456921,85.4300,0.05470542,9.99,0
96,0.210851,92.6160,0.430321,86.7000,0.05392295,10.21,0
97,0.198847,93.0920,0.567581,82.1700,0.05313953,10.22,0
98,0.203086,93.0060,0.499613,84.4200,0.05235532,10.19,0
99,0.199996,93.0460,0.429588,86.2700,0.05157054,10.20,0
100,0.190631,93.4260,0.402380,87.3500,0.05078537,10.04,1
101,0.184189,93.5480,0.496238,85.2800,0.05000000,9.88,0
102,0.187840,93.6100,0.440430,86.1900,0.04921463,10.16,0
103,0.183422,93.5160,0.361975,88.0500,0.04842946,10.00,1
104,0.178089,93.8540,0.430569,86.0100,0.04764468,10.00,0
105,0.180094,93.8100,0.499091,84.4500,0.04686047,10.18,0
106,0.176616,93.8180,0.393104,87.9200,0.04607705,9.73,0
107,0.170066,94.2100,0.397001,87.4300,0.04529458,9.40,0
108,0.172494,94.0820,0.356475,88.4500,0.04451328,10.17,1
109,0.167229,94.3320,0.396492,88.0100,0.04373334,10.13,0
110,0.167975,94.1900,0.474060,85.3700,0.04295494,10.19,0
111,0.160949,94.3960,0.357431,89.0000,0.04217828,10.12,1
112,0.154350,94.7680,0.380896,88.0800,0.04140354,10.10,0
113,0.153342,94.6880,0.380516,88.5700,0.04063093,9.92,0
114,0.150587,94.7760,0.316060,89.9700,0.03986064,10.25,1
115,0.149336,94.8620,0.288236,90.9600,0.03909284,10.06,1
116,0.143076,95.1120,0.325577,89.7100,0.03832773,9.89,0
117,0.141752,95.1400,0.431119,86.8400,0.03756551,9.78,0
118,0.146642,94.9400,0.406163,87.6400,0.03680635,10.14,0
119,0.138752,95.2180,0.378214,88.4200,0.03605044,10.21,0
120,0.133854,95.2720,0.500573,85.1400,0.03529798,9.23,0
121,0.137380,95.2760,0.302254,90.6000,0.03454915,9.64,0
122,0.125058,95.7080,0.329612,89.8300,0.03380413,10.09,0
123,0.121626,95.6940,0.357555,89.3200,0.03306310,9.64,0
124,0.124094,95.7020,0.376893,88.9900,0.03232626,10.21,0
125,0.118648,95.8100,0.396017,88.1600,0.03159377,10.21,0
126,0.114562,96.1060,0.350183,89.3800,0.03086583,9.58,0
127,0.111048,96.1280,0.370900,89.1400,0.03014261,10.26,0
128,0.112019,96.0620,0.350596,89.6500,0.02942428,9.88,0
129,0.107910,96.2120,0.355908,89.6200,0.02871104,10.24,0
130,0.102362,96.4640,0.329924,90.0900,0.02800304,9.98,0
131,0.105539,96.4040,0.357012,89.1500,0.02730048,9.92,0
132,0.097170,96.7100,0.511182,85.9600,0.02660351,10.10,0
133,0.092188,96.8720,0.366331,89.8300,0.02591232,10.12,0
134,0.092126,96.8280,0.309299,90.9300,0.02522707,10.13,0
135,0.086959,97.0520,0.408273,88.8400,0.02454793,10.19,0
136,0.083548,97.1460,0.304267,90.9500,0.02387507,10.16,0
137,0.080375,97.2440,0.322091,90.5800,0.02320866,9.80,0
138,0.077852,97.3620,0.310878,90.9800,0.02254886,10.13,1
139,0.077173,97.3860,0.369566,89.5600,0.02189583,10.03,0
140,0.074105,97.4400,0.330265,91.0000,0.02124974,10.30,1
141,0.077221,97.4560,0.319781,91.0700,0.02061074,10.35,1
142,0.065794,97.7520,0.295601,91.5600,0.01997899,10.13,1
143,0.064973,97.7720,0.398930,89.8500,0.01935465,10.08,0
144,0.066170,97.7940,0.314726,91.2500,0.01873787,10.20,0
145,0.062629,97.8980,0.286595,92.1900,0.01812880,10.24,1
146,0.057347,98.0540,0.306577,91.7200,0.01752760,10.25,0
147,0.050425,98.3760,0.306137,91.5100,0.01693441,9.94,0
148,0.052917,98.2140,0.295737,91.7500,0.01634937,10.18,0
149,0.054897,98.1720,0.282100,91.7200,0.01577264,10.17,0
150,0.041892,98.6480,0.280527,92.6300,0.01520436,10.20,1
151,0.040351,98.7100,0.293289,91.9300,0.01464466,9.86,0
152,0.043128,98.6180,0.263649,92.8500,0.01409369,10.14,1
153,0.035930,98.8140,0.274285,92.4200,0.01355157,9.96,0
154,0.034198,98.8700,0.270179,92.8100,0.01301845,10.24,0
155,0.036114,98.7960,0.287689,92.4000,0.01249445,9.96,0
156,0.031402,99.0180,0.279651,92.5700,0.01197970,9.97,0
157,0.029817,99.0520,0.281794,92.6500,0.01147434,9.98,0
158,0.027957,99.0740,0.267318,93.1300,0.01097848,9.94,1
159,0.027006,99.1420,0.260359,93.2600,0.01049225,10.22,1
160,0.022361,99.3420,0.238133,93.7000,0.01001577,10.12,1
161,0.019975,99.3920,0.254115,93.4400,0.00954915,10.23,0
162,0.020015,99.3740,0.271043,93.2200,0.00909251,10.14,0
163,0.019838,99.3880,0.257495,93.6100,0.00864597,10.24,0
164,0.016266,99.5360,0.263427,93.3000,0.00820963,10.33,0
165,0.015304,99.5380,0.267527,93.5900,0.00778360,10.24,0
166,0.013719,99.6020,0.250437,93.6100,0.00736799,10.32,0
167,0.013886,99.6160,0.253606,93.7400,0.00696290,10.27,1
168,0.010410,99.7120,0.245031,93.9300,0.00656842,10.02,1
169,0.010500,99.6920,0.254971,93.6500,0.00618467,10.12,0
170,0.009881,99.7440,0.247593,94.0900,0.00581172,10.03,1
171,0.008228,99.7860,0.271305,93.7000,0.00544967,10.10,0
172,0.008027,99.7800,0.241993,94.1000,0.00509862,10.13,1
173,0.006587,99.8260,0.242455,94.0100,0.00475865,10.10,0
174,0.006637,99.8120,0.244185,94.2800,0.00442984,10.25,1
175,0.006849,99.8120,0.242364,94.3500,0.00411227,10.00,1
176,0.005647,99.8600,0.238162,94.3200,0.00380602,10.04,0
177,0.006220,99.8360,0.243046,94.2800,0.00351118,9.99,0
178,0.005281,99.8860,0.234400,94.4200,0.00322780,10.15,1
179,0.005075,99.8620,0.233760,94.6800,0.00295596,10.23,1
180,0.004614,99.8740,0.239849,94.1700,0.00269573,10.22,0
181,0.003854,99.9280,0.226275,94.5800,0.00244717,10.18,0
182,0.003757,99.9160,0.228763,94.4700,0.00221035,10.10,0
183,0.003449,99.9300,0.223392,94.7600,0.00198532,10.11,1
184,0.003538,99.9260,0.232934,94.3900,0.00177213,10.15,0
185,0.003628,99.9020,0.227959,94.5700,0.00157084,10.24,0
186,0.003702,99.9240,0.225299,94.4300,0.00138150,10.31,0
187,0.002983,99.9440,0.222732,94.6800,0.00120416,10.18,0
188,0.003061,99.9500,0.222847,94.6800,0.00103886,10.23,0
189,0.003200,99.9320,0.223605,94.6500,0.00088564,10.23,0
190,0.002714,99.9560,0.227811,94.5200,0.00074453,9.92,0
