epoch,train_loss,train_acc,test_loss,test_acc,lr,time_sec,is_best
1,3.185952,12.1400,2.301064,16.7700,0.10000000,17.13,1
2,2.106601,19.6980,2.013276,23.7600,0.09999383,9.98,1
3,1.937270,24.2000,1.886448,27.3600,0.09997533,9.64,1
4,1.749051,32.9220,1.617947,38.2100,0.09994449,10.06,1
5,1.572625,40.6960,1.654105,39.8400,0.09990134,9.99,1
6,1.441636,46.4860,1.586498,42.0700,0.09984587,10.18,1
7,1.313849,51.7560,1.267056,53.9500,0.09977810,10.13,1
8,1.172227,57.5140,1.111164,59.8300,0.09969805,9.96,1
9,1.032014,62.9720,1.012286,63.5700,0.09960574,10.14,1
10,0.912964,67.5860,1.127823,60.8600,0.09950118,10.12,0
11,0.844247,69.9020,0.902584,68.9200,0.09938442,9.88,1
12,0.756985,73.5340,0.907725,70.7600,0.09925547,9.94,1
13,0.676213,76.5420,0.834311,71.5400,0.09911436,10.08,1
14,0.623749,78.5380,0.767665,74.0600,0.09896114,10.18,1
15,0.590870,79.5960,0.654139,77.6800,0.09879584,10.06,1
16,0.566596,80.3860,0.665460,77.2400,0.09861850,9.92,0
17,0.538108,81.2580,0.687648,76.7500,0.09842916,10.00,0
18,0.528560,81.6680,0.817583,72.3900,0.09822787,10.06,0
19,0.501138,82.7660,0.774011,74.8400,0.09801468,9.41,0
20,0.485126,83.2560,0.679246,77.2800,0.09778965,9.88,0
21,0.473309,83.7060,0.621248,78.7500,0.09755283,10.11,1
22,0.453028,84.5360,0.609357,79.8800,0.09730427,10.05,1
23,0.448658,84.5840,0.699962,76.1700,0.09704404,10.14,0
24,0.439759,84.8060,0.603653,79.3800,0.09677220,10.04,0
25,0.424464,85.4800,0.618340,79.7600,0.09648882,9.65,0
26,0.423868,85.5020,0.732427,75.7100,0.09619398,10.15,0
27,0.413725,85.5860,0.687680,78.0300,0.09588773,10.03,0
28,0.409179,85.8500,0.536258,82.3600,0.09557016,10.07,1
29,0.406200,85.7660,0.650403,78.7200,0.09524135,10.22,0
30,0.394685,86.4100,0.767847,75.4800,0.09490138,9.60,0
31,0.389798,86.5000,0.582817,80.3200,0.09455033,9.92,0
32,0.384055,86.7140,0.597317,79.7100,0.09418828,9.84,0
33,0.378295,86.9720,0.839684,74.5900,0.09381533,9.71,0
34,0.370715,87.1180,0.589472,81.0600,0.09343158,10.08,0
35,0.369520,87.2780,0.681787,77.6700,0.09303710,10.13,0
36,0.364885,87.4540,0.546336,82.4300,0.09263201,10.15,1
37,0.359399,87.7440,0.476425,84.4200,0.09221640,10.21,1
38,0.359266,87.4940,0.538525,82.3800,0.09179037,10.09,0
39,0.355667,87.8240,0.572741,81.5300,0.09135403,10.08,0
40,0.353659,87.7720,0.470306,84.1800,0.09090749,10.08,0
41,0.340227,88.3420,0.693915,77.7500,0.09045085,10.04,0
42,0.341295,88.2900,0.512510,82.7300,0.08998423,9.99,0
43,0.335697,88.3740,0.464174,84.7100,0.08950775,10.12,1
44,0.326908,88.6380,0.510253,82.9200,0.08902152,10.21,0
45,0.332216,88.6180,0.680232,78.9000,0.08852566,10.03,0
46,0.314387,89.2440,0.553575,81.8300,0.08802030,10.18,0
47,0.324232,88.7200,0.526222,83.0500,0.08750555,10.11,0
48,0.315089,89.2280,0.560593,82.7800,0.08698155,9.91,0
49,0.308086,89.3360,0.603181,81.2500,0.08644843,9.97,0
50,0.309892,89.2760,1.004098,71.3200,0.08590631,10.04,0
51,0.303514,89.4920,1.011729,74.4900,0.08535534,10.19,0
52,0.303839,89.4180,0.681338,78.2300,0.08479564,10.13,0
53,0.300933,89.5180,0.518826,83.5800,0.08422736,10.01,0
54,0.299894,89.5780,0.560831,81.7000,0.08365063,10.15,0
55,0.300806,89.6580,0.458763,85.0000,0.08306559,9.96,1
56,0.287800,90.0200,0.505109,83.9800,0.08247240,10.17,0
57,0.292837,89.9560,0.542478,82.7000,0.08187120,10.09,0
58,0.280825,90.3320,0.426215,86.0600,0.08126213,10.02,1
59,0.278974,90.3520,0.476820,83.7800,0.08064535,9.74,0
60,0.281144,90.3140,0.566344,82.9600,0.08002101,10.02,0
61,0.276949,90.2980,0.540350,82.5200,0.07938926,10.20,0
62,0.275852,90.4620,0.455708,85.4700,0.07875026,10.04,0
63,0.270564,90.6780,0.474161,84.6300,0.07810417,10.10,0
64,0.269410,90.7200,0.534033,83.0800,0.07745114,10.08,0
65,0.263496,90.9560,0.654613,80.6300,0.07679134,9.91,0
66,0.269181,90.6440,0.492711,84.5300,0.07612493,10.07,0
67,0.260359,90.8760,0.482244,84.4600,0.07545207,10.09,0
68,0.259415,91.0040,0.486273,84.2200,0.07477293,9.77,0
69,0.261071,90.9760,0.420118,86.4400,0.07408768,10.00,1
70,0.249625,91.3460,0.405714,86.9600,0.07339649,9.63,1
71,0.247177,91.5320,0.495581,84.5300,0.07269952,10.18,0
72,0.246463,91.5280,0.450336,85.4600,0.07199696,9.82,0
73,0.241213,91.5180,0.604508,80.9200,0.07128896,10.00,0
74,0.243733,91.5660,0.420116,86.6000,0.07057572,9.63,0
75,0.233130,91.8620,0.770561,78.2600,0.06985739,10.08,0
76,0.238508,91.6680,0.453483,85.4000,0.06913417,10.14,0
77,0.235530,91.7820,0.412633,86.4900,0.06840623,10.19,0
78,0.228316,92.0340,0.456733,85.6900,0.06767374,10.07,0
79,0.227053,92.1400,0.480355,85.4300,0.06693690,9.80,0
80,0.225759,92.1500,0.485680,85.1900,0.06619587,9.89,0
81,0.219887,92.4500,0.435385,85.9100,0.06545085,9.44,0
82,0.223175,92.1540,0.442945,85.8900,0.06470202,9.61,0
83,0.216936,92.4200,0.390122,87.5200,0.06394956,9.35,1
84,0.214097,92.5580,0.491510,85.0300,0.06319365,9.63,0
85,0.213652,92.6520,0.511281,84.4800,0.06243449,10.01,0
86,0.204614,92.9800,0.449339,85.7600,0.06167227,10.04,0
87,0.207132,92.7520,0.523532,83.8700,0.06090716,10.12,0
88,0.209839,92.7900,0.415789,86.7500,0.06013936,10.09,0
89,0.203276,92.8960,0.594186,81.8700,0.05936907,10.14,0
90,0.199674,93.1940,0.434813,86.3300,0.05859646,9.80,0
91,0.199670,93.0220,0.429112,86.5400,0.05782172,9.86,0
92,0.191983,93.3580,0.654854,81.1400,0.05704506,10.09,0
93,0.195210,93.2800,0.532933,84.3700,0.05626666,10.11,0
94,0.186151,93.5840,0.447885,86.2300,0.05548672,10.10,0
95,0.184502,93.6240,0.473366,85.8500,0.05470542,10.03,0
96,0.184889,93.5820,0.356767,88.7900,0.05392295,10.15,1
97,0.179033,93.8180,0.382549,87.6700,0.05313953,10.04,0
98,0.181317,93.7680,0.342996,88.9200,0.05235532,9.48,1
99,0.177597,93.7880,0.487215,85.4100,0.05157054,9.65,0
100,0.168266,94.1660,0.375325,88.4400,0.05078537,9.97,0
101,0.167759,94.1560,0.460455,86.7500,0.05000000,10.10,0
102,0.169081,94.1720,0.429245,86.4500,0.04921463,9.84,0
103,0.163359,94.2800,0.382603,88.3100,0.04842946,10.13,0
104,0.163600,94.3080,0.405138,87.4600,0.04764468,10.07,0
105,0.161136,94.4080,1.113289,73.2800,0.04686047,10.09,0
106,0.159496,94.5700,0.424678,87.0000,0.04607705,9.83,0
107,0.151607,94.7460,0.410066,87.7200,0.04529458,10.15,0
108,0.146308,94.9240,0.363845,88.7000,0.04451328,10.20,0
109,0.145746,95.0160,0.378516,89.0500,0.04373334,9.83,1
110,0.144470,95.0140,0.347806,89.2000,0.04295494,9.89,1
