epoch,train_loss,train_acc,test_loss,test_acc,lr,time_sec,is_best
1,3.858154,13.1580,2.151307,16.7100,0.10000000,17.26,1
2,2.031593,21.2000,1.954686,24.0600,0.09999383,10.04,1
3,1.869862,26.8440,1.757860,30.9700,0.09997533,9.97,1
4,1.726949,33.8680,1.644695,37.2300,0.09994449,10.05,1
5,1.593220,40.4160,1.473394,45.6600,0.09990134,10.10,1
6,1.482592,45.3300,1.407041,48.2700,0.09984587,10.01,1
7,1.367739,50.2180,1.348274,50.2100,0.09977810,9.99,1
8,1.255255,54.5880,1.281581,55.2200,0.09969805,9.86,1
9,1.158337,58.3640,1.105988,60.7500,0.09960574,9.88,1
10,1.078260,61.3800,1.075470,61.0700,0.09950118,10.10,1
11,1.024263,63.4900,1.070745,62.5400,0.09938442,9.60,1
12,0.968962,65.5280,0.957764,65.9500,0.09925547,10.09,1
13,0.925322,67.2180,1.152811,61.3900,0.09911436,9.89,0
14,0.879097,69.1680,1.052707,64.6400,0.09896114,9.86,0
15,0.833315,70.6640,0.824064,70.9700,0.09879584,10.03,1
16,0.786328,72.4180,0.923810,69.8900,0.09861850,9.89,0
17,0.716613,75.1700,0.828233,71.7100,0.09842916,9.87,1
18,0.668898,76.8360,0.923406,69.5200,0.09822787,9.95,0
19,0.633885,78.0120,0.764938,74.4400,0.09801468,10.03,1
20,0.602577,78.9160,0.742219,73.9400,0.09778965,10.00,0
21,0.582135,79.8320,0.858726,71.9600,0.09755283,10.06,0
22,0.560481,80.6280,0.779998,75.9700,0.09730427,9.62,1
23,0.543694,81.1840,0.694017,77.0700,0.09704404,10.09,1
24,0.532836,81.6520,0.774293,73.9000,0.09677220,10.04,0
25,0.525909,81.8420,0.657532,78.0800,0.09648882,9.95,1
26,0.508702,82.6540,0.649637,78.5500,0.09619398,10.06,1
27,0.497562,82.9140,0.775865,75.0000,0.09588773,9.92,0
28,0.486733,83.1160,0.638020,78.7000,0.09557016,9.90,1
29,0.478800,83.5640,0.568403,80.7300,0.09524135,9.64,1
30,0.467412,83.8000,0.641974,78.8000,0.09490138,10.06,0
31,0.455028,84.1380,0.620015,78.8400,0.09455033,9.98,0
32,0.454487,84.3000,0.589261,80.3500,0.09418828,9.66,0
33,0.444970,84.7160,0.655782,77.6600,0.09381533,9.90,0
34,0.444565,84.7440,0.705667,77.6700,0.09343158,9.77,0
35,0.434572,84.8780,0.957101,71.1000,0.09303710,10.11,0
