epoch,train_loss,train_acc,test_loss,test_acc,lr,time_sec,is_best
1,3.566299,10.7540,2.293839,14.2400,0.10000000,17.33,1
2,2.268090,14.0020,2.236049,15.3100,0.09999383,10.14,1
3,2.225724,15.6580,2.179978,17.5100,0.09997533,10.37,1
4,2.155688,18.3260,2.131341,20.3300,0.09994449,9.95,1
5,2.094805,20.2280,2.021423,22.1100,0.09990134,10.15,1
6,2.001888,24.4760,1.926549,28.6100,0.09984587,9.93,1
7,1.939804,27.5540,1.881037,29.3400,0.09977810,10.22,1
8,1.869696,30.9480,1.846497,30.8800,0.09969805,10.10,1
9,1.790135,34.6440,1.697501,37.8700,0.09960574,10.38,1
10,1.669034,39.4540,1.675533,40.0300,0.09950118,10.20,1
11,1.593083,42.3840,1.601772,43.5200,0.09938442,10.53,1
12,1.505952,45.9080,1.486326,46.5000,0.09925547,10.41,1
13,1.440933,48.6260,1.591844,45.0600,0.09911436,10.29,0
14,1.380238,51.1740,1.459849,48.6100,0.09896114,9.94,1
15,1.321776,53.2680,1.551943,50.8800,0.09879584,10.19,1
16,1.294891,54.4860,1.354167,54.0300,0.09861850,10.68,1
17,1.259208,55.6880,1.292324,54.2400,0.09842916,10.24,1
18,1.238336,56.0680,1.388258,51.9600,0.09822787,10.73,0
19,1.215507,57.2820,1.443672,51.4200,0.09801468,10.53,0
20,1.178309,58.8020,1.264053,56.2400,0.09778965,10.42,1
21,1.138890,60.1240,1.206363,58.0200,0.09755283,9.99,1
22,1.098113,61.3540,1.846557,56.0700,0.09730427,10.43,0
23,1.069058,62.6880,1.267689,56.6900,0.09704404,10.44,0
24,1.040731,63.7380,1.056887,62.7700,0.09677220,9.52,1
25,1.021796,64.4160,1.218950,59.3900,0.09648882,9.85,0
26,1.010173,64.9520,0.999730,65.1900,0.09619398,10.45,1
27,0.986738,65.6480,1.349862,57.5400,0.09588773,10.52,0
28,0.980661,65.8540,1.111437,62.3200,0.09557016,10.24,0
29,0.960796,66.5980,1.074382,63.4600,0.09524135,10.27,0
30,0.952471,66.8180,1.216072,59.4900,0.09490138,9.89,0
31,0.944151,67.1620,1.114899,62.0800,0.09455033,9.61,0
32,0.937077,67.2220,1.211204,58.0000,0.09418828,9.88,0
33,0.930388,67.5560,1.366521,55.6100,0.09381533,9.81,0
34,0.917820,67.9660,1.048991,62.8600,0.09343158,9.41,0
35,0.910666,68.1600,1.258641,59.4800,0.09303710,10.34,0
36,0.906148,68.3960,0.904224,68.9900,0.09263201,10.29,1
37,0.893506,69.1720,1.000361,65.4000,0.09221640,10.12,0
38,0.882185,69.4020,0.962121,67.3900,0.09179037,10.29,0
39,0.879379,69.4200,1.004192,65.5000,0.09135403,10.37,0
40,0.876853,69.4040,0.926662,67.9800,0.09090749,9.79,0
41,0.869478,69.7780,0.985448,65.7800,0.09045085,10.42,0
